766,5,2002-08-24,,Sábado,Internacional,São Paulo,-,Beira Rio,2,2,RS,SP,-
767,5,2002-08-24,,Sábado,Figueirense,Botafogo-RJ,Botafogo-RJ,Arena da Baixada,0,3,SC,RJ,RJ
768,5,2002-08-24,,Sábado,Flamengo,Paysandu,Paysandu,Maracanã,1,2,RJ,PA,PA
769,5,2002-08-25,,Domingo,Ponte Preta,Grêmio,-,Moisés Lucarelli,1,1,SP,RS,-
770,5,2002-08-25,,Domingo,Fluminense,Santos,-,Maracanã,1,1,RJ,SP,-
771,5,2002-08-25,,Domingo,Palmeiras,Atlético-MG,Atlético-MG,Parque Antártica,0,4,SP,MG,MG
772,5,2002-08-25,,Domingo,Coritiba,Corinthians,Corinthians,Couto Pereira,1,2,PR,SP,SP
773,5,2002-08-25,,Domingo,Cruzeiro,Bahia,Cruzeiro,Mineirão,2,1,MG,BA,MG
774,5,2002-08-25,,Domingo,Goiás,Vasco,Goiás,Serra Dourada,2,1,GO,RJ,GO
775,5,2002-08-25,,Domingo,Portuguesa,Gama,Portuguesa,Canindé,1,0,SP,DF,SP
776,5,2002-08-25,,Domingo,Vitória,Juventude,Vitória,Barradão,2,1,ES,RS,ES
777,6,2002-08-28,,Quarta-feira,Corinthians,Cruzeiro,-,Pacaembu,1,1,SP,MG,-
778,6,2002-08-28,,Quarta-feira,Guarani,Internacional,-,Brinco de Ouro,1,1,SP,RS,-
779,6,2002-08-28,,Quarta-feira,Athlético-PR,Palmeiras,Athlético-PR,Arena da Baixada,1,0,PR,SP,PR
780,6,2002-08-28,,Quarta-feira,Bahia,Figueirense,Figueirense,Fonte Nova,1,2,BA,SC,SC
781,6,2002-08-28,,Quarta-feira,Gama,Flamengo,Gama,Serejão,2,1,DF,RJ,DF
782,6,2002-08-28,,Quarta-feira,Juventude,Fluminense,Juventude,Alfredo Jaconi,2,0,RS,RJ,RS
783,6,2002-08-28,,Quarta-feira,Santos,Paraná,Santos,Vila Belmiro,2,1,SP,PR,SP
784,6,2002-08-29,,Quinta-feira,Grêmio,Portuguesa,-,Olímpico Monumental,0,0,RS,SP,-
785,6,2002-08-29,,Quinta-feira,Atlético-MG,Vitória,Atlético-MG,Independência,2,1,MG,ES,MG
786,6,2002-08-29,,Quinta-feira,Ponte Preta,Cruzeiro,Ponte Preta,Moisés Lucarelli,2,0,SP,MG,SP
787,6,2002-08-29,,Quinta-feira,São Paulo,Goiás,São Paulo,Morumbi,2,0,SP,GO,SP
788,7,2002-08-31,,Sábado,Corinthians,Athlético-PR,Athlético-PR,Pacaembu,0,3,SP,PR,PR
789,7,2002-08-31,,Sábado,Botafogo-RJ,Gama,Botafogo-RJ,Maracanã,1,0,RJ,DF,RJ
790,7,2002-08-31,,Sábado,Coritiba,Fluminense,Coritiba,Couto Pereira,2,0,PR,RJ,PR
791,7,2002-08-31,,Sábado,Internacional,Santos,Internacional,Beira Rio,3,0,RS,SP,RS
792,7,2002-09-01,,Domingo,Flamengo,Cruzeiro,-,Maracanã,1,1,RJ,MG,-
793,7,2002-09-01,,Domingo,Atlético-MG,Portuguesa,-,Independência,0,0,MG,SP,-
794,7,2002-09-01,,Domingo,Goiás,Guarani,Guarani,Serra Dourada,1,2,GO,SP,SP
795,7,2002-09-01,,Domingo,Juventude,Vasco,Juventude,Alfredo Jaconi,1,0,RS,RJ,RS
796,7,2002-09-01,,Domingo,Paraná,Palmeiras,Paraná,Couto Pereira,5,1,PR,SP,PR
797,7,2002-09-01,,Domingo,Ponte Preta,São Caetano,São Caetano,Moisés Lucarelli,0,1,SP,SP,SP
798,7,2002-09-01,,Domingo,São Paulo,Grêmio,São Paulo,Morumbi,2,0,SP,RS,SP
799,7,2002-09-01,,Domingo,Vitória,Paysandu,Vitória,Barradão,5,1,ES,PA,ES
800,8,2002-09-04,,Quarta-feira,Palmeiras,Coritiba,-,Parque Antártica,2,2,SP,PR,-
801,8,2002-09-04,,Quarta-feira,Gama,Ponte Preta,-,Bezerrão,0,0,DF,SP,-
802,8,2002-09-04,,Quarta-feira,Vasco,Atlético-MG,Atlético-MG,São Januário,1,2,RJ,MG,MG
803,8,2002-09-04,,Quarta-feira,Athlético-PR,Botafogo-RJ,Athlético-PR,Arena da Baixada,2,0,PR,RJ,PR
804,8,2002-09-04,,Quarta-feira,Bahia,Paraná,Bahia,Fonte Nova,3,2,BA,PR,BA
805,8,2002-09-04,,Quarta-feira,Paysandu,Corinthians,Corinthians,Mangueirão,0,1,PA,SP,SP
806,8,2002-09-04,,Quarta-feira,Cruzeiro,São Paulo,Cruzeiro,Independência,3,1,MG,SP,MG
807,8,2002-09-04,,Quarta-feira,Flamengo,Fluminense,Flamengo,Maracanã,5,2,RJ,RJ,RJ
808,8,2002-09-04,,Quarta-feira,São Caetano,Guarani,São Caetano,Anacleto Campanella,2,1,SP,SP,SP
809,8,2002-09-05,,Quinta-feira,Portuguesa,Internacional,Internacional,Canindé,0,2,SP,RS,RS
810,8,2002-09-05,,Quinta-feira,Santos,Vitória,Santos,Vila Belmiro,3,0,SP,ES,SP
811,9,2002-09-07,,Sábado,Goiás,Botafogo-RJ,-,Serra Dourada,2,2,GO,RJ,-
812,9,2002-09-07,,Sábado,Palmeiras,Gama,-,Parque Antártica,2,2,SP,DF,-
813,9,2002-09-07,,Sábado,Atlético-MG,Ponte Preta,Atlético-MG,Independência,2,0,MG,SP,MG
814,9,2002-09-07,,Sábado,São Caetano,São Paulo,São Caetano,Anacleto Campanella,3,0,SP,SP,SP
815,9,2002-09-07,,Sábado,Vasco,Coritiba,Vasco,São Januário,1,0,RJ,PR,RJ
816,9,2002-09-08,,Domingo,Santos,Athlético-PR,-,Vila Belmiro,2,2,SP,PR,-
817,9,2002-09-08,,Domingo,Vitória,Internacional,-,Barradão,0,0,ES,RS,-
818,9,2002-09-08,,Domingo,Fluminense,Figueirense,Fluminense,Maracanã,4,3,RJ,SC,RJ
819,9,2002-09-08,,Domingo,Grêmio,Corinthians,Grêmio,Olímpico Monumental,4,0,RS,SP,RS
820,9,2002-09-08,,Domingo,Guarani,Paysandu,Guarani,Brinco de Ouro,2,0,SP,PA,SP
821,9,2002-09-08,,Domingo,Juventude,Bahia,Juventude,Alfredo Jaconi,2,1,RS,BA,RS
822,9,2002-09-08,,Domingo,Paraná,Flamengo,Paraná,Couto Pereira,3,0,PR,RJ,PR
823,10,2002-09-11,,Quarta-feira,Bahia,Grêmio,-,Fonte Nova,1,1,BA,RS,-
824,10,2002-09-11,,Quarta-feira,Coritiba,Santos,Coritiba,Couto Pereira,4,2,PR,SP,PR
825,10,2002-09-11,,Quarta-feira,Flamengo,Athlético-PR,Flamengo,Maracanã,3,2,RJ,PR,RJ
826,10,2002-09-11,,Quarta-feira,Internacional,Palmeiras,Internacional,Beira Rio,3,2,RS,SP,RS
827,10,2002-09-11,,Quarta-feira,Paysandu,Vasco,Paysandu,Mangueirão,2,0,PA,RJ,PA
828,10,2002-09-11,,Quarta-feira,Ponte Preta,Paraná,Ponte Preta,Moisés Lucarelli,1,0,SP,PR,SP
829,10,2002-09-11,,Quarta-feira,Portuguesa,São Caetano,Portuguesa,Canindé,3,2,SP,SP,SP
